Component/Part Name,Part Number,Link,Description,Vendor,MacroFab House Part,Qty Per Brd
ARM® Cortex®-M0+ SAM C21 ,ATSAMC21G18A-AUTCT-ND,https://www.digikey.com/product-detail/en/microchip-technology/ATSAMC21G18A-AUT/ATSAMC21G18A-AUTCT-ND/5876003,IC MCU 32BIT 256KB FLASH 48TQFP,Digikey,,1
10 (8 + 2) Position microSD Card Connector ,HR1972CT-ND,https://www.digikey.com/product-detail/en/hirose-electric-co-ltd/DM3CS-SF/HR1972CT-ND/2602740,CONN MICRO SD CARD HINGED TYPE,Digikey,,1
Red 633nm LED,475-2512-1-ND,https://www.digikey.com/product-detail/en/osram-opto-semiconductors-inc/LS-Q976-NR-1/475-2512-1-ND/1802639,LED RED DIFFUSED 0603 SMD,Digikey,,1
Ferrite Bead Filter,MH2029-300YCT-ND,https://www.digikey.com/product-detail/en/bourns-inc/MH2029-300Y/MH2029-300YCT-ND/3741761,FERRITE BEAD 30 OHM 0805 1LN,Digikey,,1
2.2µH Unshielded Wirewound Inductor,587-2064-1-ND,https://www.digikey.com/product-detail/en/taiyo-yuden/BRL2012T2R2M/587-2064-1-ND/1789011,FIXED IND 2.2UH 550MA 390 MOHM,Digikey,,1
Right Angle 20 position Main Header,A97487-ND,https://www.digikey.com/product-detail/en/te-connectivity-amp-connectors/5103311-5/A97487-ND/1596774,CONN HEADER R/A 20POS 2.54MM,Digikey,,1
BNO055 Inertial Measurment Unit,828-1058-1-ND,https://www.digikey.com/product-detail/en/bosch-sensortec/BNO055/828-1058-1-ND/6136309,IMU ACCEL/GYRO/MAG I2C 28LGA,Digikey,,1
Diode Schottky Reverse Voltage Protection,B140-FDICT-ND,https://www.digikey.com/product-detail/en/diodes-incorporated/B140-13-F/B140-FDICT-ND/815319,DIODE SCHOTTKY 40V 1A SMA,Digikey,Yes,1
10µF Ceramic Capacitor,445-9065-1-ND,https://www.digikey.com/product-detail/en/tdk-corporation/C1608X5R1C106M080AB/445-9065-1-ND/3648729,CAP CER 10UF 16V X5R 0603,Digikey,Yes,5
0.1µF Ceramic Capacitor,490-3261-1-ND,https://www.digikey.com/product-detail/en/murata-electronics-north-america/GRM155R71C104KA88D/490-3261-1-ND/702802,CAP CER 0.1UF 16V X7R 0402,Digikey,Yes,9
3.3V Linear Voltage Regulator,296-32415-1-ND,https://www.digikey.com/product-detail/en/texas-instruments/TLV70233DBVR/296-32415-1-ND/3505572,IC REG LINEAR 3.3V 300MA SOT23-5,Digikey,Yes,2
1µF Ceramic Capacitor,445-4978-1-ND,https://www.digikey.com/product-detail/en/tdk-corporation/C1005X5R1C105K050BC/445-4978-1-ND/2093592,CAP CER 1UF 16V X5R 0402,Digikey,Yes,5
15pF Capacitor for Crystal,478-1072-1-ND,https://www.digikey.com/product-detail/en/avx-corporation/04025A150JAT2A/478-1072-1-ND/564104,CAP CER 15PF 50V C0G/NP0 0402,Digikey,,2
CANbus Transciever,MCP2561T-E/SNCT-ND,https://www.digikey.com/product-detail/en/microchip-technology/MCP2561T-E-SN/MCP2561T-E-SNCT-ND/5148846,IC TXRX CAN 8SOIC,Digikey,,1
10k Chip Resistor,P10KJCT-ND,https://www.digikey.com/product-detail/en/microchip-technology/MCP2561T-E-SN/MCP2561T-E-SNCT-ND/5148846,RES SMD 10K OHM 5% 1/10W 0402,Digikey,Yes,8
1k Chip Resistor,P1.0KJCT-ND,https://www.digikey.com/product-detail/en/panasonic-electronic-components/ERJ-2GEJ102X/P1.0KJCT-ND/146897,RES SMD 1K OHM 5% 1/10W 0402,Digikey,Yes,4
100k Chip Resistor,P100KJCT-ND,https://www.digikey.com/product-detail/en/panasonic-electronic-components/ERJ-2GEJ104X/P100KJCT-ND/146730,RES SMD 100K OHM 5% 1/10W 0402,Digikey,Yes,1
CAN Termination Resistor,ERJ-S02F1200X-ND,https://www.digikey.com/product-detail/en/panasonic-electronic-components/ERJ-S02F1200X/ERJ-S02F1200X-ND/672934,RES SMD 120 OHM 1% 1/10W 0402,Digikey,,2
5V Switch Regulator,296-30228-1-ND,https://www.digikey.com/product-detail/en/texas-instruments/TPS62163DSGT/296-30228-1-ND/2982147,IC REG BUCK 5V 1A SYNC 8WSON,Digikey,,1
SWD Header,609-3712-ND,https://www.digikey.com/product-detail/en/amphenol-icc-fci/20021111-00010T4LF/609-3712-ND/2209072,CONN HEADER VERT 10POS 1.27MM,Digikey,,1
RS485 Transciever,296-24734-1-ND,https://www.digikey.com/product-detail/en/texas-instruments/SN65HVD10MDREP/296-24734-1-ND/2092556,IC TXRX RS485 EP 3.3V 8SOIC,Digikey,,1
32.768kHz ±10ppm Crystal,535-9809-1-ND,https://www.digikey.com/product-detail/en/abracon-llc/ABS25-32.768KHZ-1-T/535-9809-1-ND/2001432,CRYSTAL 32.7680KHZ 12.5PF SMD,Digikey,,1
